,year,month,text
67,1985,July,"July 4  Ruth Lawrence, at the age of 13, achieves a first in mathematics at the University of Oxford by becoming the youngest British person ever to earn a first-class degree and the youngest graduate of the University."
68,1985,July,July 10  The Greenpeace vessel Rainbow Warrior is bombed and sunk in Auckland Harbour by French DGSE agents.
69,1985,July,"July 13 Live Aid benefit concerts in London and Philadelphia raise over 50million for famine relief in Ethiopia. U.S. Vice President George H. W. Bush serves as acting president for eight hours, while President Ronald Reagan undergoes colon cancer surgery at Bethesda Naval Medical Center in Bethesda, Maryland."
70,1985,July,"July 19 New Hampshire teacher Christa McAuliffe is announced to become the first schoolteacher to ride aboard the Space Shuttle Challenger. The Val di Stava dam collapses in Italy, killing 268 people, destroying 63 buildings, and demolishing eight bridges."
71,1985,July,"July 20  State President of South Africa, P. W. Botha, declares a state of emergency in 36 magisterial districts of South Africa amid growing civil unrest in black townships."
72,1985,July,July 23  Commodore launches the Amiga personal computer at the Lincoln Center in New York.
73,1985,July,"July 27  The 63 Building officially opens as the tallest skyscraper outside of North America in Yeouido, Seoul, South Korea.[15]"
74,1985,August,"ATI Technologies is founded (originally as Array Technology) in North America by Lee Ka Lau, Francis Lau, Benny Lau and Kwok Yuen Ho."
75,1985,August,"August 2  Delta Air Lines Flight 191 crashes near Dallas, Texas, killing 137 people."
76,1985,August,"August 7  Takao Doi, Mamoru Mohri and Chiaki Mukai are chosen to be Japan's first astronauts."
77,1985,August,"August 12  Japan Airlines Flight 123 crashes in Japan, killing 520 people (the worst single-aircraft disaster in history)."
78,1985,August,"August 14  The Accomarca massacre takes place in Ayacucho, Peru."
79,1985,August,"August 20  IranContra affair: The first arms, 96 BGM-71 TOWs, are sent to Iran in exchange for hostages in Lebanon and profits for the Nicaraguan Contras without public knowledge."
80,1985,August,August 22  British Airtours Flight 28M: The 737's left engine catches fire while on its takeoff roll at Manchester Airport in England and 55 people are killed while trying to evacuate the aircraft.
81,1985,August,August 25  Bar Harbor Airlines Flight 1808 crashes in the United States killing all 8 on board including Samantha Smith.
82,1985,August,"August 28  The first smoking ban for restaurants in the United States is passed in Aspen, Colorado.[16]"
83,1985,August,"August 31  Richard Ramirez, the serial killer known as the Night Stalker, is captured in Los Angeles."
84,1985,September,September 1  The wreck of the RMS Titanic is located by a joint American-French expedition led by Dr. Robert Ballard (WHOI) and Jean-Louis Michel (IFREMER) using side-scan sonar from RV Knorr.[17]
85,1985,September,September 2  Hurricane Elena makes landfall on the U.S. Gulf Coast after reaching a Category 3 status.
86,1985,September,September 4  Catcher Gary Carter of the New York Mets ties a record with five home runs in two games.
87,1985,September,"September 6  Midwest Express Airlines Flight 105, a Douglas DC-9, crashes just after takeoff from Milwaukee, killing all 31 on board."
88,1985,September,"September 11  Pete Rose becomes the all-time hit leader in Major League Baseball, with his 4,192nd hit at Riverfront Stadium in Cincinnati."
89,1985,September,September 13 Super Mario Bros. is released for the Nintendo Entertainment System. Steve Jobs resigns from Apple Computer in order to found NeXT.[18]
90,1985,September,"September 19  An 8.0 Mw earthquake strikes Mexico City, killing between 5,000 and 45,000 people and injuring 30,000 more."
91,1985,September,September 20  The capital gains tax is introduced to Australia.[19]
92,1985,September,September 22  The Plaza Accord is signed by five nations.
93,1985,September,September 23  Italian crime reporter Giancarlo Siani is killed by the Camorra.
94,1985,September,"September 26  Kalina, the first captive orca born at SeaWorld as well as the first to survive past infancy, is born at SeaWorld Orlando."
95,1985,September,"September 28  Brixton riot in South London is sparked with the shooting of Dorothy ""Cherry"" Groce by the Metropolitan Police."
96,1985,October,October 1  Operation Wooden Leg: The Israeli air force bombs Palestine Liberation Organization Headquarters near Tunis.
97,1985,October,October 3  The Space Shuttle Atlantis makes its maiden flight.
98,1985,October,October 4  The Free Software Foundation is founded in Massachusetts.
99,1985,October,"October 7  The cruise ship Achille Lauro is hijacked in the Mediterranean Sea by four heavily armed Palestinian terrorists. One passenger, American Leon Klinghoffer, is killed."
100,1985,October,October 18  The first Nintendo home video game console in the United States is released as the Nintendo Entertainment System.
101,1985,October,October 25  Emirates Airlines is established in Dubai and performs its first flight to Karachi.
102,1985,November,"November 5  In an all English match, Mark Kaylor defeats Errol Christie to become the middleweight boxing champion, after the two brawl in front of the cameras at the weigh-in."
103,1985,November,"November 6  Palace of Justice siege: Members of the M-19 Marxist guerrilla group take over the Palace of Justice in Bogot, Colombia, and hold the Supreme Court hostage. Hours later, after a military raid, the incident leaves almost half of the 25 Supreme Court Justices dead."
104,1985,November,"November 9  In an all-Soviet match, 22-year-old Garry Kasparov defeats Anatoly Karpov to become the youngest-ever undisputed winner of the World Chess Championship."
105,1985,November,November 12  A total solar eclipse occurs over Antarctica at 14:11:22 UTC.
106,1985,November,"November 13 Armero tragedy: The Nevado del Ruiz volcano erupts, killing an estimated 23,000 people, including 21,000 killed by lahars, in the town of Armero, Colombia. Xavier Surez is sworn in as Miami's first Cuban-born mayor."
107,1985,November,November 18 - Calvin and Hobbes comic strip debuts.
108,1985,November,"November 19  Cold War: In Geneva, U.S. President Ronald Reagan and Soviet Union leader Mikhail Gorbachev meet for the first time."
109,1985,November,"November 20  Microsoft Corporation releases the first version of Windows, Windows 1.0."
110,1985,November,"November 23  EgyptAir Flight 648 is hijacked by the Abu Nidal group and flown to Malta, where Egyptian commandos storm the plane; 60 are killed by gunfire and explosions."
111,1985,November,"November 25  1985 Aeroflot Antonov An-12 shoot-down: A Soviet Aeroflot Antonov An-12 cargo airplane, en route from Cuito Cuanavale to Luanda, is shot down by South African Special Forces and crashes approximately 43km east of Menongue, the provincial center of the Cuando Cubango Province, Angola, killing 8 crew members and 13 passengers on board."
112,1985,November,November 26  U.S. President Ronald Reagan sells the rights to his autobiography to Random House for a record US$3million.
113,1985,November,"November 29  Grard Hoarau, exiled political leader from the Seychelles, is assassinated in London."
114,1985,December,"December 1 The Organization of Ibero-American States for Education, Science and Culture (Spanish: Organizacin e Estados Iberoamericanos para la Educacin la Ciencia y la Cultura; OEI) is created. The Ford Taurus and Mercury Sable are released for sale to the public in the US."
115,1985,December,December 8  The South Asian Association for Regional Cooperation (SAARC) is established.
116,1985,December,"December 11  Hugh Scrutton is killed outside his Sacramento, California computer rental store by a Unabomber explosive, becoming the first fatality of the bombing campaign."
117,1985,December,"December 12  Arrow Air Flight 1285, a Douglas DC-8, crashes after takeoff from Gander, Newfoundland, killing 256 people  248 of whom were U.S. servicemen returning to Fort Campbell, Kentucky after overseeing a peacekeeping force in the Sinai Peninsula."
118,1985,December,"December 16  In New York City, American Mafia bosses Paul Castellano and Thomas Bilotti are shot dead in front of Spark's Steak House, making hit organizer John Gotti the leader of the powerful Gambino crime family."
119,1985,December,December 20  Pope John Paul II announces the instituting of World Youth Day for Catholic youths.
120,1985,December,December 24  Extremist David Lewis Rice murders civil rights attorney Charles Goldmark as well as Goldmark's wife and two children in Seattle. He believed the family was Jewish and Communist and claimed his dedication to the Christian Identity movement drove him to commit the crime.
121,1985,December,"December 27 Rome and Vienna airport attacks: Abu Nidal terrorists open fire in the airports of Rome and Vienna, leaving 18 dead and 120 injured. American naturalist Dian Fossey is found brutally murdered in Rwanda."
122,1985,December,"December 31  American singer, songwriter and actor Ricky Nelson dies in a plane crash in De Kalb, Texas."
123,1986,January,"January 1 In Northern Ireland, during The Troubles, police officers James McCandless (39) and Michael Williams (24) are killed by a Provisional Irish Republican Army remote controlled bomb hidden in a litter bin and detonated when their foot patrol passes at Thomas Street, Armagh.[1] Aruba gains increased autonomy from the Netherlands by separating from the Netherlands Antilles. Spain and Portugal enter the European Community, which becomes the European Union in 1993."
124,1986,January,"January 11  The Gateway Bridge in Brisbane, Australia, at this time the world's longest prestressed concrete free-cantilever bridge, is opened."
125,1986,January,January 13  24  South Yemen Civil War.
126,1986,January,"January 19  The first PC virus, Brain, starts to spread."
127,1986,January,January 20  The United Kingdom and France announce plans to construct the Channel Tunnel.
128,1986,January,January 24  The Voyager 2 space probe makes its first encounter with Uranus.
129,1986,January,January 25  Yoweri Museveni's National Resistance Army Rebel group takes over Uganda after leading a five-year guerrilla war in which up to half a million people are believed to have been killed. They will later use January 26 as the official date to avoid a coincidence of dates with Dictator Idi Amin's 1971 coup.
130,1986,January,"January 28  Space Shuttle Challenger disaster  STS-51-L: Space Shuttle Challenger disintegrates 73 seconds after launch from the United States, killing the crew of seven astronauts, including schoolteacher Christa McAuliffe."
131,1986,January,January 29  Yoweri Museveni is sworn in as President of Uganda.
132,1986,February,February 3 Pixar Animation Studios is founded by Edwin Catmull and Alvy Ray Smith.
133,1986,February,"February 7 President Jean-Claude Duvalier (""Baby Doc"") flees Haiti, ending 28 years of family rule. The snap presidential election in the Philippines earlier announced by President Ferdinand Marcos was held amidst controversy that would pave the way for a chain of protests culminating in the People Power Revolution."
134,1986,February,"February 8  The Hinton train collision occurred, where a Canadian National train heading westbound collided with a Via Rail train in Hinton, Alberta. 23 people were killed in the accident, and injured 71 people."
135,1986,February,"February 9  Halley's Comet reaches its perihelion, the closest point to the Sun, during its second visit to the solar system in the 20th century (the first was in 1910)."
136,1986,February,February 11  Human rights activist Natan Sharansky is released by Soviet authorities and leaves the country for Israel.
137,1986,February,February 15  The Beechcraft Starship makes its maiden flight.
138,1986,February,"February 16 The Soviet liner MSMikhail Lermontov sinks in the Marlborough Sounds, New Zealand. Ouadi Doum air raid: The French Air Force raids the Libyan Ouadi Doum airbase in northern Chad. Mrio Soares wins the second round of the Portuguese presidential election."
139,1986,February,February 17  The Single European Act is signed.
140,1986,February,February 19 The Soviet Union launches the Mir space station. The United States Senate approves a treaty outlawing genocide.
141,1986,February,February 22  The People Power Revolution begins in the Philippines to remove President Ferdinand Marcos from office.
142,1986,February,"February 24  Sherri Rae Rasmussen, a 29 year old nursing administrator was shot to death in her Los Angeles home. The crime remained unsolved for 23 years until LAPD detective Stephanie Lazarus was arrested and charged with her murder on June 5, 2009. Lazarus once dated Rasmussen's husband John Rutten while in college. Lazarus was convicted on March 8, 2012 and was sentenced to 27 years to life in prison. She will not be eligible for parole until 2028."
143,1986,February,"February 25 The 27th Congress of the Communist Party of the Soviet Union opens in Moscow. The General Secretary Mikhail Gorbachev introduces the keywords of his mandate to the audience: Glasnost and Perestroika. People Power Revolution: President Ferdinand Marcos of the Philippines goes into exile in Hawaii after 20 years of rule; Corazon Aquino becomes the first Filipino woman president, first as an interim president. Salvador Laurel becomes her vice president. Egyptian military police, protesting against bad salaries, enter four luxury hotels near the pyramids, set fire to them, and loot them."
144,1986,February,February 27  The United States Senate allows its debates to be televised on a trial basis.
145,1986,February,"February 28  Swedish Prime Minister Olof Palme is shot to death on his way home from the cinema in Stockholm, Sweden."
146,1986,March,March 1  Olof Palme's deputy Ingvar Carlsson becomes acting Prime Minister of Sweden. He is elected Prime Minister by the Swedish Riksdag on March 15.
147,1986,March,"March 3  The first paper is published describing the atomic force microscope invented the previous year by Gerd Binnig, Calvin Quate and Christopher Berger.[2]"
148,1986,March,"March 8  The Japanese Suisei probe flies by Halley's Comet, studying its UV hydrogen corona and solar wind."
149,1986,March,March 9  United States Navy divers find the largely intact but heavily damaged crew compartment of the Space Shuttle Challenger; the bodies of all seven astronauts are still inside.
150,1986,March,"March 13  In a Black Sea incident, American cruiser USS Yorktown and the destroyer USS Caron, claiming the right of innocent passage, enter the Soviet territorial waters near the southern Crimean Peninsula."
151,1986,March,March 14  Microsoft Corporation holds its initial public offering of stock shares.
152,1986,March,"March 15  Hotel New World collapses, 33 killed and 17 rescued from rubble."
153,1986,March,"March 25  The 58th Academy Awards are held in Los Angeles, with Out of Africa winning Best Picture."
154,1986,March,"March 26  An article in The New York Times charges that Kurt Waldheim, former United Nations Secretary-General and candidate for president of Austria, may have been involved in Nazi war crimes during World War II."
155,1986,March,"March 27  Russell Street Bombing: A car bomb explodes at Russell Street Police Headquarters in Russell Street, Melbourne, killing a woman constable, the first Australian policewoman to be killed in the line of duty."
156,1986,March,"March 31 A fire causes extensive damage at Hampton Court Palace in Surrey, England. Mexicana Flight 940 crashes near Maravato, Mexico, killing 167.[3]"
157,1986,April,"April  The government of Ivory Coast requests international diplomatic use of the French form of its name, Cte d'Ivoire."
158,1986,April,"April 1  Sector Kanda: Communist Party of Nepal (Mashal) cadres attack a number of police stations in Kathmandu, seeking to incite a popular rebellion."
159,1986,April,"April 2  A bomb explodes on a Trans World Airlines flight from Rome to Athens, killing 4 people."
160,1986,April,"April 5 1986 Berlin discotheque bombing: The West Berlin discothque La Belle, a known hangout for United States soldiers, is bombed, killing three and injuring 230; Libya is held responsible."
161,1986,April,April 11  The infamous FBI shootout in Miami results in the death of two FBI agents and the wounding of five others.
162,1986,April,"April 13  Pope John Paul II officially visits the Great Synagogue of Rome, the first time a modern Pope has visited a synagogue."
163,1986,April,April 13  The first child born to a non-related surrogate mother is born.[4]
164,1986,April,"April 14  Hailstones weighing 1 kilogram (2.2lb) fall on Gopalganj District, Bangladesh, killing 92."
165,1986,April,"April 15  Operation El Dorado Canyon: At least 15 people die after United States planes bomb targets in the Libyan capital, Tripoli, and the Benghazi region."
166,1986,April,"April 16  The United Kingdom and the Kingdom of the Netherlands sign a peace treaty, thus ending the Three Hundred and Thirty Five Years' War, one of the longest wars in human history.[5]"
167,1986,April,April 17 Lebanon hostage crisis: British journalist John McCarthy is kidnapped in Beirut (he is released in August 1991) and three others are killed in retaliation for the bombing of Libya. The Hindawi affair begins when an Irishwoman is found carrying explosives onto an El Al flight from London to Tel Aviv.
168,1986,April,April 21  Lorimar-Telepictures launches as a mass media company.
169,1986,April,"April 26  Chernobyl disaster: A mishandled safety test at the Chernobyl Nuclear Power Plant in Pripyat, Ukrainian SSR, Soviet Union ""killed at least 4,056 people and damaged almost $7 billion of property"".[6] Radioactive fallout from the accident is concentrated near Belarus, Ukraine and Russia and at least 350,000 people are forcibly resettled away from these areas. After the accident, ""traces of radioactive deposits unique to Chernobyl were in nearly every country in the northern hemisphere"".[6]"
170,1986,April,"April 27  ""Captain Midnight"" interrupts the HBO satellite feed."
171,1986,April,April 29  The Diamond Jubilee of Hirohito is held at the Kokugikan in Tokyo.
172,1986,May,"May 2  Expo 86, the 1986 World Exposition on Transportation and Communication, a World's fair, opens in Vancouver, British Columbia, Canada."
173,1986,May,May 8  scar Arias is inaugurated into his first term as President of Costa Rica.
174,1986,May,May 12  NBC unveils its current peacock logo at the finale of its 60th anniversary special.
175,1986,May,"May 16  The Seville Statement on Violence is adopted by an international meeting of scientists, convened by the Spanish National Commission for UNESCO, in Seville, Spain. Paramount Pictures releases Top Gun."
176,1986,May,"May 23  Somali President Siad Barre is injured in a car accident in Mogadishu and taken to Saudi Arabia for treatment. Somali opposition groups see this as an opportunity to try and remove Barre, beginning the Somali Civil War."
177,1986,May,"May 25 Hands Across America: At least 5,000,000 people form a human chain from New York City to Long Beach, California, to raise money to fight hunger and homelessness. The Bangladeshi double decked ferry Shamia capsizes in the Meghna River, southern Barisal, Bangladesh, killing at least 600."
178,1986,June,"June  Construction of the Oosterscheldekering, the world's largest openable storm surge flood barrier, is completed in the Netherlands."
179,1986,June,June 4  Jonathan Pollard pleads guilty to espionage for selling top secret United States military intelligence to Israel.
180,1986,June,June 8  Former United Nations Secretary-General Kurt Waldheim is elected president of Austria.
181,1986,June,June 9  The Rogers Commission releases its report on the Space Shuttle Challenger disaster.
182,1986,June,June 12  South Africa declares a nationwide state of emergency.
183,1986,June,June 14  Fantasyland's Mindbender derails and kills three people.
184,1986,June,"June 22  In one of the most famous FIFA World Cup matches, Argentinian football player Diego Maradona scores one handball goal (nicknamed the ""Hand of God"") and then dribbles past the entire English football team to score a second goal (nicknamed ""The Goal of the Century"") with Argentina winning 21 against England."
185,1986,June,"June 23  Eric Thomas develops LISTSERV, the first email list management software.[7]"
186,1986,June,June 29  Argentina defeats West Germany 32 to win the 1986 World Cup in Estadio Azteca in Mexico City.
187,1986,July,"July 2  Walt Disney Pictures releases the company's 26th animated film, The Great Mouse Detective."
188,1986,July,July 5  The Statue of Liberty is reopened to the public after celebrating its centennial and an extensive refurbishment.
189,1986,July,July 7  Australian drug smugglers Kevin Barlow and Brian Chambers are executed in Malaysia.
190,1986,July,July 12  The New Zealand Homosexual Law Reform Act decriminalizes consensual sex between men from the age of 16.
191,1986,July,"July 23  In London, Prince Andrew, Duke of York marries Sarah Ferguson at Westminster Abbey."
192,1986,August,"August 6 A low-pressure system moving from South Australia and redeveloping off the New South Wales coast dumps a record 328 millimetres (12.9in) of rain in a day on Sydney. Australian Democrats leader Don Chipp retires from federal parliament and is succeeded by Janine Haines, the first woman to lead a political party in Australia."
193,1986,August,"August 19  Two weeks after it was stolen, the Picasso painting Weeping Woman is found in a locker at the Spencer Street Station in Melbourne, Australia."
194,1986,August,"August 20  In Edmond, Oklahoma, United States Postal Service employee Patrick Sherrill guns down 14 of his coworkers before committing suicide."
195,1986,August,"August 21  The Lake Nyos disaster, a limnic eruption, occurs in Cameroon, killing nearly 2,000 people."
196,1986,August,"August 31 The Soviet passenger liner SSAdmiral Nakhimov collides with the bulk carrier Pyotr Vasev in the Black Sea and sinks almost immediately, killing 398. Aeromxico Flight 498, a Douglas DC-9, collides with a Piper PA-28 over Cerritos, California, killing 82 (67 on both aircraft and 15 on the ground). The cargo ship Khian Sea departs from the docks of Philadelphia, carrying 14,000 tons of toxic waste. It wanders the seas for the next 16 months trying to find a place to dump its cargo. The waste is later dumped in Haiti."
197,1986,September,September 1  Jordan University of Science and Technology is established in Jordan.
198,1986,September,"September 4  Eusko Alkartasuna, the Basque Social Democratic Party, is created in Vitoria-Gasteiz."
199,1986,September,"September 5  Pan Am Flight 73, with 358 people on board, is hijacked at Karachi International Airport by four Abu Nidal terrorists."
200,1986,September,"September 6 The Big Mac Index is introduced in The Economist newspaper as a semi-humorous international measure of purchasing power parity.[8][9] In Istanbul, two Abu Nidal terrorists kill 22 and wound 6 inside the Neve Shalom Synagogue during Shabbat services."
201,1986,September,September 7 Desmond Tutu becomes the first black Anglican Church bishop in South Africa. Chilean dictator Augusto Pinochet survives an assassination attempt by the FPMR; 5 of Pinochet's bodyguards are killed.
202,1986,September,"September 13  The 6.0 Mw Kalamata earthquake shook southern Greece with a maximum Mercalli intensity of X (Extreme). The shock left at least 20 dead, 300 injured, and caused $5million in damage."
